,freq_sta2,freq_sta0,freq_sta3,freq_sta4,freq_sta1,freq_sta5,round_time,consumption_sta2,consumption_sta0,consumption_sta1,consumption_sta3,consumption_sta4,consumption_sta5,mean_acc
0,0.36,0.82,0.82,0.93,1.18,1.31,155.5632712841034,0.03314492683333334,0.03831544524999998,0.02555900816666665,0.03311558966666668,0.027442138833333365,0.024975038250000005,0.9167390962441763
1,0.36,0.82,0.82,0.93,1.18,1.31,151.32007122039795,0.06386594283333334,0.07097117450000005,0.05284758333333334,0.05860694058333339,0.051712305583333396,0.05084541216666665,0.894832710425059
2,0.36,0.82,0.82,0.93,1.18,1.31,153.20565676689148,0.09054737641666667,0.10767972274999986,0.07733066625000001,0.08286402408333353,0.07591338141666679,0.07945705425000005,0.9258242050806681
3,0.36,0.82,0.82,0.93,1.18,1.31,150.48997902870178,0.11994843300000006,0.14681805583333335,0.10185582691666611,0.10919718975000027,0.10269498741666694,0.10167257825000006,0.9435115257898966
4,0.36,0.82,0.82,0.93,1.18,1.31,151.31341457366943,0.14774829908333337,0.1977274342500009,0.1261270034166661,0.13564394233333338,0.12676117791666702,0.12599561166666692,0.9554336369037628
5,0.36,0.82,0.82,0.93,1.18,1.31,155.18670964241028,0.18134194808333348,0.22977692175000136,0.1528530778333324,0.16220922116666664,0.15066064333333362,0.15043734175000031,0.9630312919616699
6,0.36,0.82,0.82,0.93,1.18,1.31,150.13623690605164,0.21317156941666698,0.26766487633333597,0.17684787616666636,0.18686081816666672,0.1748185719166669,0.17449409450000022,0.9680548508961996
7,0.36,0.82,0.82,0.93,1.18,1.31,148.79720616340637,0.24252383083333368,0.2954678206666698,0.2005835531666656,0.2113499172499999,0.20288325049999978,0.19917595766666693,0.9718995789686838
8,0.36,0.82,0.82,0.93,1.18,1.31,149.0485484600067,0.27609491550000026,0.33309374616666937,0.22378763524999906,0.24038342849999966,0.230542988666666,0.2283520090000005,0.9736117919286092
9,0.36,0.82,0.82,0.93,1.18,1.31,151.155864238739,0.30615887925000046,0.3633473690000035,0.24974431024999882,0.26970943933333275,0.25987091999999934,0.2529722415833342,0.9766603410243988
10,0.36,0.82,0.82,0.93,1.18,1.31,152.2796494960785,0.33705658466666727,0.41400766650000403,0.28387496699999853,0.29434046566666555,0.2869601829166657,0.27776797241666706,0.9779166777928671
11,0.36,0.82,0.82,0.93,1.18,1.31,150.06574249267578,0.36917160341666705,0.4723907506666704,0.3317601594999993,0.31847945983333187,0.31375704758333267,0.30257700383333397,0.9795940021673838
12,0.36,0.82,0.82,0.93,1.18,1.31,151.4719114303589,0.400657344916667,0.5018818961666685,0.3657608667499999,0.3461728179166644,0.34336519291666623,0.32535534641666697,0.980813225110372
13,0.36,0.82,0.82,0.93,1.18,1.31,153.7305121421814,0.43336651450000047,0.5513395785833324,0.4178703064166667,0.37278429883333014,0.37244920883333277,0.34884925766666686,0.9817553361256918
14,0.36,0.82,0.82,0.93,1.18,1.31,151.6340935230255,0.4621326672500003,0.5888037247499969,0.4549725052500005,0.3977313895833297,0.40439302083333284,0.3779412755833339,0.9829879701137543
15,0.36,0.82,0.82,0.93,1.18,1.31,151.31699800491333,0.4904408512499993,0.6409702025833273,0.48037049858333375,0.4252136845833299,0.4334948503333329,0.40160580558333303,0.9834052125612894
16,0.36,0.82,0.82,0.93,1.18,1.31,153.0933768749237,0.5225109744166656,0.679996529916659,0.5182907647500004,0.45111770708332993,0.45956699458333294,0.4280184932499992,0.979348361492157
17,0.36,0.82,0.82,0.93,1.18,1.31,153.06737327575684,0.5557773767499985,0.7294591237499897,0.568784418666666,0.4790879376666642,0.48657713883333376,0.45423939174999906,0.9841940999031067
18,0.36,0.82,0.82,0.93,1.18,1.31,149.04891204833984,0.5889078451666647,0.7676631692499889,0.6183752402499969,0.5060932290833313,0.5147392800833333,0.48110978641666546,0.9850751459598541
19,0.36,0.82,0.82,0.93,1.18,1.31,149.290864944458,0.6262618795833308,0.8062701279999871,0.643034547666663,0.5298203312499976,0.5416774160833342,0.511973022749998,0.9857642352581024
