2025-12-11 01:16:45,901 - EXECUT - INFO - starting server...
2025-12-11 01:16:56,025 - EXECUT - INFO - trainer number sta5 just joined the pool
2025-12-11 01:16:56,171 - EXECUT - INFO - trainer number sta0 just joined the pool
2025-12-11 01:16:56,266 - EXECUT - INFO - trainer number sta4 just joined the pool
2025-12-11 01:16:56,684 - EXECUT - INFO - trainer number sta1 just joined the pool
2025-12-11 01:16:56,788 - EXECUT - INFO - trainer number sta3 just joined the pool
2025-12-11 01:16:56,977 - EXECUT - INFO - trainer number sta2 just joined the pool
2025-12-11 01:16:57,927 - EXECUT - INFO - mensagem de data_sz recebida: 
 {'id': 'sta0', 'dataset_sz': 259700928}
2025-12-11 01:16:57,929 - EXECUT - INFO - mensagem de data_sz recebida: 
 {'id': 'sta1', 'dataset_sz': 519401856}
2025-12-11 01:16:57,972 - EXECUT - INFO - mensagem de data_sz recebida: 
 {'id': 'sta3', 'dataset_sz': 649277568}
2025-12-11 01:16:57,972 - EXECUT - INFO - mensagem de data_sz recebida: 
 {'id': 'sta4', 'dataset_sz': 346301568}
2025-12-11 01:16:57,973 - EXECUT - INFO - mensagem de data_sz recebida: 
 {'id': 'sta5', 'dataset_sz': 173150784}
2025-12-11 01:16:57,973 - EXECUT - INFO - mensagem de data_sz recebida: 
 {'id': 'sta2', 'dataset_sz': 649277568}
2025-12-11 01:16:58,927 - METRIC - INFO - round: 1
2025-12-11 01:16:58,927 - METRIC - INFO - n_selected: 6
2025-12-11 01:16:58,927 - METRIC - INFO - {"selected_trainers": ["sta0", "sta1", "sta2", "sta3", "sta4", "sta5"]}
2025-12-11 01:17:17,635 - EXECUT - INFO - received weights from trainer sta0!
2025-12-11 01:17:40,916 - EXECUT - INFO - received weights from trainer sta1!
